,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
620,Best Performance by an Actor in a Motion Picture - Drama,Manchester by the Sea,2017,Casey Affleck,Winner,Actor -- Leading Role,Manchester by the Sea,Actor -- Leading Role,YES
621,Best Performance by an Actor in a Motion Picture - Drama,Hacksaw Ridge,2017,Andrew Garfield,Nominee,Actor -- Leading Role,Hacksaw Ridge,Actor -- Leading Role,NO
622,Best Performance by an Actor in a Motion Picture - Drama,Captain Fantastic,2017,Viggo Mortensen,Nominee,Actor -- Leading Role,Captain Fantastic,Actor -- Leading Role,NO
623,Best Performance by an Actor in a Motion Picture - Drama,Fences,2017,Denzel Washington,Nominee,Actor -- Leading Role,Fences,Actor -- Leading Role,NO
624,Best Performance by an Actress in a Motion Picture - Musical or Comedy,La La Land,2017,Emma Stone,Winner,Actress -- Leading Role,La La Land,Actress -- Leading Role,YES
625,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Florence Foster Jenkins,2017,Meryl Streep,Nominee,Actress -- Leading Role,Florence Foster Jenkins,Actress -- Leading Role,NO
626,Best Performance by an Actor in a Motion Picture - Musical or Comedy,La La Land,2017,Ryan Gosling,Winner,Actor -- Leading Role,La La Land,Actor -- Leading Role,NO
627,Best Director - Motion Picture,La La Land,2017,Damien Chazelle,Winner,Directing,Damien Chazelle,Directing,YES
628,Best Director - Motion Picture,Hacksaw Ridge,2017,Mel Gibson,Nominee,Directing,Mel Gibson,Directing,NO
629,Best Director - Motion Picture,Moonlight,2017,Barry Jenkins,Nominee,Directing,Barry Jenkins,Directing,NO
630,Best Director - Motion Picture,Manchester by the Sea,2017,Kenneth Lonergan,Nominee,Directing,Kenneth Lonergan,Directing,NO
