,Category_x,Secondary,Year,NOM,GLOBES WIN_x,Category_y,Additional Info,OSCARS CAT_y,OSCARS WIN_y
194,Best Performance by an Actor in a Motion Picture - Drama,"Field, The",1991,Richard Harris,Nominee,Actor -- Leading Role,The Field {'Bull McCabe'},Actor -- Leading Role,NO
195,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Pretty Woman,1991,Julia Roberts,Winner,Actress -- Leading Role,Pretty Woman {'Vivian Ward'},Actress -- Leading Role,NO
196,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Postcards From The Edge,1991,Meryl Streep,Nominee,Actress -- Leading Role,Postcards from the Edge {'Suzanne Vale'},Actress -- Leading Role,NO
197,Best Director - Motion Picture,"Godfather Part III, The",1991,Francis Ford Coppola,Nominee,Directing,Francis Ford Coppola,Directing,NO
198,Best Director - Motion Picture,Reversal of Fortune,1991,Barbet Schroeder,Nominee,Directing,Barbet Schroeder,Directing,NO
199,Best Director - Motion Picture,GoodFellas,1991,Martin Scorsese,Nominee,Directing,Martin Scorsese,Directing,NO
200,Best Motion Picture - Drama,,1992,Bugsy,Winner,Best Picture,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",Best Picture,NO
201,Best Motion Picture - Drama,,1992,The Prince of Tides,Nominee,Best Picture,"Barbra Streisand and Andrew Karsch, Producers",Best Picture,NO
202,Best Motion Picture - Drama,,1992,The Silence of the Lambs,Nominee,Best Picture,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",Best Picture,YES
203,Best Motion Picture - Drama,,1992,JFK,Nominee,Best Picture,"A. Kitman Ho and Oliver Stone, Producers",Best Picture,NO
204,Best Motion Picture - Musical or Comedy,,1992,Beauty and the Beast,Winner,Best Picture,"Don Hahn, Producer",Best Picture,NO
205,Best Performance by an Actress in a Motion Picture - Drama,"Silence of the Lambs, The",1992,Jodie Foster,Winner,Actress -- Leading Role,The Silence of the Lambs {'Clarice Starling'},Actress -- Leading Role,YES
206,Best Performance by an Actress in a Motion Picture - Drama,Thelma & Louise,1992,Geena Davis,Nominee,Actress -- Leading Role,Thelma & Louise {'Thelma'},Actress -- Leading Role,NO
207,Best Performance by an Actress in a Motion Picture - Drama,Rambling Rose,1992,Laura Dern,Nominee,Actress -- Leading Role,Rambling Rose {'Rose'},Actress -- Leading Role,NO
208,Best Performance by an Actress in a Motion Picture - Drama,Thelma & Louise,1992,Susan Sarandon,Nominee,Actress -- Leading Role,Thelma & Louise {'Louise'},Actress -- Leading Role,NO
209,Best Performance by an Actor in a Motion Picture - Drama,"Prince of Tides, The",1992,Nick Nolte,Winner,Actor -- Leading Role,The Prince of Tides {'Tom Wingo'},Actor -- Leading Role,NO
210,Best Performance by an Actor in a Motion Picture - Drama,Bugsy,1992,Warren Beatty,Nominee,Actor -- Leading Role,Bugsy {'Bugsy Siegel'},Actor -- Leading Role,NO
211,Best Performance by an Actor in a Motion Picture - Drama,Cape Fear,1992,Robert De Niro,Nominee,Actor -- Leading Role,Cape Fear {'Max Cady'},Actor -- Leading Role,NO
212,Best Performance by an Actor in a Motion Picture - Drama,"Silence of the Lambs, The",1992,Anthony Hopkins,Nominee,Actor -- Leading Role,The Silence of the Lambs {'Dr. Hannibal Lecter'},Actor -- Leading Role,YES
213,Best Performance by an Actress in a Motion Picture - Musical or Comedy,For The Boys,1992,Bette Midler,Winner,Actress -- Leading Role,For the Boys {'Dixie Leonard'},Actress -- Leading Role,NO
214,Best Performance by an Actor in a Motion Picture - Musical or Comedy,"Fisher King, The",1992,Robin Williams,Winner,Actor -- Leading Role,The Fisher King {'Parry'},Actor -- Leading Role,NO
215,Best Director - Motion Picture,JFK,1992,Oliver Stone,Winner,Directing,Oliver Stone,Directing,NO
216,Best Director - Motion Picture,"Silence of the Lambs, The",1992,Jonathan Demme,Nominee,Directing,Jonathan Demme,Directing,YES
217,Best Director - Motion Picture,Bugsy,1992,Barry Levinson,Nominee,Directing,Barry Levinson,Directing,NO
218,Best Motion Picture - Drama,,1993,Scent of a Woman,Winner,Best Picture,"Martin Brest, Producer",Best Picture,NO
219,Best Motion Picture - Drama,,1993,A Few Good Men,Nominee,Best Picture,"David Brown, Rob Reiner and Andrew Scheinman, Producers",Best Picture,NO
220,Best Motion Picture - Drama,,1993,Howards End,Nominee,Best Picture,"Ismail Merchant, Producer",Best Picture,NO
221,Best Motion Picture - Drama,,1993,Unforgiven,Nominee,Best Picture,"Clint Eastwood, Producer",Best Picture,YES
222,Best Motion Picture - Drama,,1993,The Crying Game,Nominee,Best Picture,"Stephen Woolley, Producer",Best Picture,NO
223,Best Performance by an Actress in a Motion Picture - Drama,Howards End,1993,Emma Thompson,Winner,Actress -- Leading Role,Howards End {'Margaret Schlegel'},Actress -- Leading Role,YES
224,Best Performance by an Actress in a Motion Picture - Drama,Passion Fish,1993,Mary McDonnell,Nominee,Actress -- Leading Role,Passion Fish {'May-Alice'},Actress -- Leading Role,NO
225,Best Performance by an Actress in a Motion Picture - Drama,Love Field,1993,Michelle Pfeiffer,Nominee,Actress -- Leading Role,Love Field {'Lurene Hallett'},Actress -- Leading Role,NO
226,Best Performance by an Actress in a Motion Picture - Drama,Lorenzo's Oil,1993,Susan Sarandon,Nominee,Actress -- Leading Role,Lorenzo's Oil {'Michaela Odone'},Actress -- Leading Role,NO
227,Best Performance by an Actor in a Motion Picture - Drama,Scent of a Woman,1993,Al Pacino,Winner,Actor -- Leading Role,Scent of a Woman {'Lt. Col. Frank Slade'},Actor -- Leading Role,YES
228,Best Performance by an Actor in a Motion Picture - Drama,Malcolm X,1993,Denzel Washington,Nominee,Actor -- Leading Role,Malcolm X {'Malcolm X'},Actor -- Leading Role,NO
229,Best Director - Motion Picture,Unforgiven,1993,Clint Eastwood,Winner,Actor -- Leading Role,Unforgiven {'Bill Munny'},Actor -- Leading Role,NO
230,Best Director - Motion Picture,Unforgiven,1993,Clint Eastwood,Winner,Directing,Clint Eastwood,Directing,YES
231,Best Director - Motion Picture,"Player, The",1993,Robert Altman,Nominee,Directing,Robert Altman,Directing,NO
232,Best Director - Motion Picture,Howards End,1993,James Ivory,Nominee,Directing,James Ivory,Directing,NO
233,Best Motion Picture - Drama,,1994,Schindler's List,Winner,Best Picture,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",Best Picture,YES
234,Best Motion Picture - Drama,,1994,In the Name of the Father,Nominee,Best Picture,"Jim Sheridan, Producer",Best Picture,NO
235,Best Motion Picture - Drama,,1994,The Piano,Nominee,Best Picture,"Jan Chapman, Producer",Best Picture,NO
236,Best Performance by an Actress in a Motion Picture - Drama,"Piano, The",1994,Holly Hunter,Winner,Actress -- Leading Role,The Piano {'Ada'},Actress -- Leading Role,YES
237,Best Performance by an Actress in a Motion Picture - Drama," Remains of the Day, The",1994,Emma Thompson,Nominee,Actress -- Leading Role,The Remains of the Day {'Miss Kenton'},Actress -- Leading Role,NO
238,Best Performance by an Actress in a Motion Picture - Drama,"Dangerous Woman, A",1994,Debra Winger,Nominee,Actress -- Leading Role,Shadowlands {'Joy Gresham'},Actress -- Leading Role,NO
239,Best Performance by an Actor in a Motion Picture - Drama,Philadelphia,1994,Tom Hanks,Winner,Actor -- Leading Role,Philadelphia {'Andrew Beckett'},Actor -- Leading Role,YES
240,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Sleepless in Seattle,1994,Tom Hanks,Nominee,Actor -- Leading Role,Philadelphia {'Andrew Beckett'},Actor -- Leading Role,YES
241,Best Performance by an Actor in a Motion Picture - Drama,In the Name of the Father,1994,Daniel Day-Lewis,Nominee,Actor -- Leading Role,In the Name of the Father {'Gerry Conlon'},Actor -- Leading Role,NO
242,Best Performance by an Actor in a Motion Picture - Drama," Remains of the Day, The",1994,Anthony Hopkins,Nominee,Actor -- Leading Role,The Remains of the Day {'Mr. Stevens'},Actor -- Leading Role,NO
243,Best Performance by an Actor in a Motion Picture - Drama,Schindler's List,1994,Liam Neeson,Nominee,Actor -- Leading Role,Schindler's List {'Oskar Schindler'},Actor -- Leading Role,NO
244,Best Performance by an Actress in a Motion Picture - Musical or Comedy,What's Love Got To Do With It,1994,Angela Bassett,Winner,Actress -- Leading Role,What's Love Got to Do with It {'Tina Turner'},Actress -- Leading Role,NO
